Estado,Año,Mes,Tasa de desempleo
Alabama,2015,Mayo,6.1
Alabama,2015,Abril,6.1
Alabama,2015,Marzo,6.1
Alabama,2015,Febrero,6.1
Alabama,2015,Enero,6.1
Alabama,2016,Diciembre,5.7
Alabama,2016,Noviembre,5.8
Alabama,2016,Octubre,5.9
Alabama,2016,Septiembre,5.9
Alabama,2016,Agosto,5.9
Alabama,2016,Julio,5.9
Alabama,2016,Junio,5.9
Alabama,2016,Mayo,5.9
Alabama,2016,Abril,5.9
Alabama,2016,Marzo,6.0
Alabama,2016,Febrero,6.0
Alabama,2016,Enero,6.1
Alabama,2017,Diciembre,4.0
Alabama,2017,Noviembre,4.0
Alabama,2017,Octubre,4.0
Alabama,2017,Septiembre,4.1
Alabama,2017,Agosto,4.2
Alabama,2017,Julio,4.3
Alabama,2017,Junio,4.4
Alabama,2017,Mayo,4.6
Alabama,2017,Abril,4.8
Alabama,2017,Marzo,5.0
Alabama,2017,Febrero,5.2
Alabama,2017,Enero,5.5
Alabama,2018,Diciembre,3.8
Alabama,2018,Noviembre,3.8
Alabama,2018,Octubre,3.9
Alabama,2018,Septiembre,3.9
Alabama,2018,Agosto,3.9
Alabama,2018,Julio,3.9
Alabama,2018,Junio,3.9
Alabama,2018,Mayo,3.9
Alabama,2018,Abril,4.0
Alabama,2018,Marzo,4.0
Alabama,2018,Febrero,4.0
Alabama,2018,Enero,4.0
Alabama,2019,Diciembre,3.2
Alabama,2019,Noviembre,3.1
Alabama,2019,Octubre,3.0
Alabama,2019,Septiembre,2.9
Alabama,2019,Agosto,2.9
Alabama,2019,Julio,2.9
Alabama,2019,Junio,2.9
Alabama,2019,Mayo,3.1
Alabama,2019,Abril,3.2
Alabama,2019,Marzo,3.4
Alabama,2019,Febrero,3.6
Alabama,2019,Enero,3.7
Arkansas,2010,Diciembre,8.0
Arkansas,2010,Noviembre,8.0
Arkansas,2010,Octubre,7.9
Arkansas,2010,Septiembre,7.9
Arkansas,2010,Agosto,7.8
Arkansas,2010,Julio,7.7
Arkansas,2010,Junio,7.7
Arkansas,2010,Mayo,7.8
Arkansas,2010,Abril,7.8
Arkansas,2010,Marzo,7.9
Arkansas,2010,Febrero,7.9
Arkansas,2010,Enero,7.9
Arkansas,2011,Diciembre,7.5
Arkansas,2011,Noviembre,7.7
Arkansas,2011,Octubre,7.8
Arkansas,2011,Septiembre,7.9
Arkansas,2011,Agosto,8.0
Arkansas,2011,Julio,8.0
Arkansas,2011,Junio,8.0
Arkansas,2011,Mayo,8.0
Arkansas,2011,Abril,8.0
Arkansas,2011,Marzo,8.0
Arkansas,2011,Febrero,8.0
Arkansas,2011,Enero,8.0
Arkansas,2012,Diciembre,7.2
Arkansas,2012,Noviembre,7.2
Arkansas,2012,Octubre,7.2
Arkansas,2012,Septiembre,7.2
Arkansas,2012,Agosto,7.2
Arkansas,2012,Julio,7.3
Arkansas,2012,Junio,7.3
Arkansas,2012,Mayo,7.3
Arkansas,2012,Abril,7.3
Arkansas,2012,Marzo,7.3
Arkansas,2012,Febrero,7.3
Arkansas,2012,Enero,7.4
Arkansas,2013,Diciembre,6.6
Arkansas,2013,Noviembre,6.7
Arkansas,2013,Octubre,6.9
Arkansas,2013,Septiembre,7.0
Arkansas,2013,Agosto,7.1
Arkansas,2013,Julio,7.1
Arkansas,2013,Junio,7.1
Arkansas,2013,Mayo,7.2
Arkansas,2013,Abril,7.2
Arkansas,2013,Marzo,7.2
Arkansas,2013,Febrero,7.2
Arkansas,2013,Enero,7.2
Arkansas,2014,Diciembre,5.5
Arkansas,2014,Noviembre,5.6
Arkansas,2014,Octubre,5.6
Arkansas,2014,Septiembre,5.7
Arkansas,2014,Agosto,5.7
Arkansas,2014,Julio,5.8
Arkansas,2014,Junio,5.9
Arkansas,2014,Mayo,6.0
Arkansas,2014,Abril,6.0
Arkansas,2014,Marzo,6.2
Arkansas,2014,Febrero,6.3
Arkansas,2014,Enero,6.5
Arkansas,2015,Diciembre,4.3
Arkansas,2015,Noviembre,4.4
Arkansas,2015,Octubre,4.5
Arkansas,2015,Septiembre,4.6
Arkansas,2015,Agosto,4.8
Arkansas,2015,Julio,4.9
Arkansas,2015,Junio,5.1
Arkansas,2015,Mayo,5.2
Arkansas,2015,Abril,5.3
Arkansas,2015,Marzo,5.4
Arkansas,2015,Febrero,5.4
